| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.3            |
| 2–11 months       | 0.5            |
| 1–2 years         | 0.7            |
| 3–5 years         | 0.6            |
| 6–11 years        | 1.3            |
| 12–15 years       | 1.5            |
| 16–19 years       | 1.4            |
| 20–29 years       | 1.2            |
| 30–39 years       | 0.8            |
| 40–49 years       | 0.6            |
| 50–59 years       | 0.6            |
| 60–69 years       | 0.7            |
| 70–79 years       | 0.5            |
| 80 years and over | 0.5            |
