| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.11           |
| 2–11 months       | 0.17           |
| 1–2 years         | 0.09           |
| 3–5 years         | 0.11           |
| 6–11 years        | 0.34           |
| 12–15 years       | 0.41           |
| 16–19 years       | 0.44           |
| 20–29 years       | 0.23           |
| 30–39 years       | 0.21           |
| 40–49 years       | 0.18           |
| 50–59 years       | 0.45           |
| 60–69 years       | 0.15           |
| 70–79 years       | 0.22           |
| 80 years and over | 0.23           |
