| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.15           |
| 2–11 months       | 0.27           |
| 1–2 years         | 0.15           |
| 3–5 years         | 0.17           |
| 6–11 years        | 0.22           |
| 12–15 years       | 0.46           |
| 16–19 years       | 0.44           |
| 20–29 years       | 0.3            |
| 30–39 years       | 0.32           |
| 40–49 years       | 0.27           |
| 50–59 years       | 0.36           |
| 60–69 years       | 0.53           |
| 70–79 years       | 0.37           |
| 80 years and over | 0.51           |
