Age,5th,10th,25th,50th,75th,90th,95th
"6 years",49,49.6,54.6,59.6,65.7,70,75.8
"7-11 years",48,49.8,59.1,64,69.8,77.6,79.7
"7 years",43.9,49.8,57.5,60,69.5,74.8,79.2
"8 years",45.6,49.4,57.2,61.4,69.5,75.9,79.6
"9 years",47.8,49.8,59.2,67.1,71.1,77.7,79.6
"10 years",49.1,51.5,59.3,65.2,69.8,75.8,79.4
"11 years",49.4,51.3,59.4,67.1,73.2,79.6,81.5
"12-17 years",53.3,57.6,61.6,69.5,77.1,81.2,82.5
"12 years",49.9,57.1,59.8,69,71.9,79.2,79.9
"13 years",53.4,57.3,59.7,69.3,75.8,79.9,84.6
"14 years",49.9,55.8,61.1,69.1,75.2,79.7,81.8
"15 years",55.1,57.9,63.5,69.6,77.3,82,85.8
"16 years",54,59.1,65.1,69.8,77.8,81.8,84.7
"17 years",55.5,59.1,65.7,71.7,79.4,85.2,89.4
"18-74 years",59.8,65.9,71.7,79.6,89.1,97.9,103.8
"18-24 years",57.4,59.5,67.5,73.6,79.6,85.6,89.5
"25-34 years",59.6,63.9,69.6,77.8,83.9,89.7,95.3
"35-44 years",61.9,69,73.6,79.9,89.2,99,104
"45-54 years",67.1,69.6,77.4,83.8,91.6,101.9,109.4
"55-64 years",69.2,71,79,85.2,94.2,101.5,109.1
"65-74 years",67.2,69.5,77.4,83.8,93.4,100,109.1
"40-74 years",67.2,69.6,77.4,83.7,91.8,100,109.1
