Age,5th,10th,25th,50th,75th,90th,95th
"6 years",47.3,49.4,55.2,59.5,65.4,69.6,73.3
"7-11 years",49.1,49.9,59.2,65.1,69.9,77.6,79.6
"7 years",44,51.4,59.2,61.8,69.6,74.6,77.2
"8 years",45.3,49.4,57.1,61.2,69.6,79.1,79.9
"9 years",49.2,49.9,59.3,65.9,71,77.4,79.6
"10 years",49.1,55.4,59.6,67.1,71.1,77.6,79.6
"11 years",49.3,50,59.6,67.3,73.4,79.4,79.8
"12-17 years",53.4,57.9,63.4,69.7,77.6,81.9,85.4
"12 years",51.7,57.5,61.6,69.1,71.6,79.1,79.6
"13 years",54.1,55.9,59.7,69.6,77.2,83.5,84.7
"14 years",49.6,55.5,60,69.1,75.5,79.9,84.5
"15 years",53.8,57.2,64.1,69.9,79.2,83.4,87.2
"16 years",59,59.6,67.5,73.1,79.4,83.3,85.3
"17 years",56.7,59.5,67.9,73.7,79.6,85.5,89.7
"18-74 years",64.4,69.2,75.1,81.3,89.5,99.3,104.7
"18-24 years",59.2,63.1,69.5,77.2,81.2,87.7,91.2
"25-34 years",65.6,69,.73.8,79.7,87.4,91.8,99.1
"35-44 years",69,69.6,77.5,83.4,89.8,99.5,107.2
"45-54 years",69.5,73.2,79.4,87.1,93.8,103.8,109.8
"55-64 years",69.1,70,79.2,85.4,95,101.9,109.2
"65-74 years",65.3,69.4,77.1,83.7,93.3,99.9,107.9
"40-74 years",69.1,70,79.1,85.2,93.4,101.8,109.3
