| Age   | Population in thousands |
| ----- | ----------------------- |
| 6     |                         |
| 7-11  | 10287                   |
| 7     | 2232                    |
| 8     | 1749                    |
| 9     | 1861                    |
| 10    | 2222                    |
| 11    | 2223                    |
| 12-17 | 12808                   |
| 12    | 2365                    |
| 13    | 2030                    |
| 14    | 2084                    |
| 15    | 2131                    |
| 16    | 2059                    |
| 17    | 2137                    |
| 18-74 | 60565                   |
| 18-24 | 11351                   |
| 25-34 | 12766                   |
| 35-44 | 10804                   |
| 45-54 | 11260                   |
| 55-64 | 8888                    |
| 65-74 | 5496                    |
| 40-74 | 31177                   |
