Age,Mean,"Standard deviation","Standard error",5th,10th,25th,50th,75th,90th,95th,"Population in thousands"
"6 years",95.6,10.5,1.04,79.3,83.4,89.2,93.7,99.9,109.7,114.4,
"7-11 years",103.3,12.1,0.68,83.7,89.1,93.9,102,109.8,119.3,121.9,20275
"7 years",99.9,11.4,1.13,79.8,85,90,99.3,109.2,114.5,119.5,4069
"8 years",101.5,12.6,0.97,79.7,85.4,91.5,99.8,109.5,119.4,121.7,3515
"9 years",104,12.1,0.96,85.3,89.3,95.2,103.2,109.8,119.4,122,3839
"10 years",104.5,11.6,0.93,85.8,89.4,95.7,103.9,110,119.4,124.1,4558
"11 years",106,12,0.98,89,89.6,97.5,105.1,114.2,119.7,123.9,4294
"12-17 years",113.4,13.7,0.55,91.5,97.2,103.6,111.2,119.8,129.7,137.8,25070
"12 years",109.3,13,0.99,89.2,91.7,99.6,109.3,119.2,125.1,129.9,4304
"13 years",111.4,13.1,0.93,89.9,95.1,101.2,109.8,119.4,127.5,130,4353
"14 years",113.6,12.1,0.84,93.8,98,103.9,111,119.8,129.3,137.1,4259
"15 years",114.1,13.2,1.02,93,97.8,105.3,111.4,119.9,129.9,139.3,4198
"16 years",116.4,13.9,0.77,95.5,98,107.6,114.5,123.7,133.8,139.7,4109
"17 years",116.3,15.3,1.25,93.4,98.1,106,114.9,123.9,137.5,145.5,3847
"18-74 years",129.8,21.9,0.41,99.7,107,114.5,125.4,139.6,159.3,169.8,127937
"18-24 years",119,13.8,0.47,97.6,99.8,109.4,119.2,127.7,137.3,140,23462
"25-34 years",120.9,14.7,0.46,99.1,101.8,109.7,119.4,129.4,139.4,146,26762
"35-44 years",125.6,17.6,0.57,99.7,105.1,113.3,123.2,133.8,149.1,157.8,22575
"45-54 years",134.1,22.7,1.03,103.8,109.4,119.3,129.6,143.6,160,175.8,23524
"55-64 years",142,23.5,0.79,109.1,113.4,125.1,139.3,155.6,169.9,185.8,18841
"65-74 years",150.1,25.2,0.83,113.7,119.6,131.3,147.7,163.6,181.4,193.7,12773
"40-74 years",138.1,24,0.59,105.6,109.8,119.8,133.9,149.8,169.5,181.7,66597
