| Age   | 5th   | 10th  | 25th  | 50th  | 75th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 6     | 79.3  | 83.4  | 89.2  | 93.7  | 99.9  | 109.7 | 114.4 |
| 7-11  | 83.7  | 89.1  | 93.9  | 102   | 109.8 | 119.3 | 121.9 |
| 7     | 79.8  | 85    | 90    | 99.3  | 109.2 | 114.5 | 119.5 |
| 8     | 79.7  | 85.4  | 91.5  | 99.8  | 109.5 | 119.4 | 121.7 |
| 9     | 85.3  | 89.3  | 95.2  | 103.2 | 109.8 | 119.4 | 122   |
| 10    | 85.8  | 89.4  | 95.7  | 103.9 | 110   | 119.4 | 124.1 |
| 11    | 89    | 89.6  | 97.5  | 105.1 | 114.2 | 119.7 | 123.9 |
| 12-17 | 91.5  | 97.2  | 103.6 | 111.2 | 119.8 | 129.7 | 137.8 |
| 12    | 89.2  | 91.7  | 99.6  | 109.3 | 119.2 | 125.1 | 129.9 |
| 13    | 89.9  | 95.1  | 101.2 | 109.8 | 119.4 | 127.5 | 130   |
| 14    | 93.8  | 98    | 103.9 | 111   | 119.8 | 129.3 | 137.1 |
| 15    | 93    | 97.8  | 105.3 | 111.4 | 119.9 | 129.9 | 139.3 |
| 16    | 95.5  | 98    | 107.6 | 114.5 | 123.7 | 133.8 | 139.7 |
| 17    | 93.4  | 98.1  | 106   | 114.9 | 123.9 | 137.5 | 145.5 |
| 18-74 | 99.7  | 107   | 114.5 | 125.4 | 139.6 | 159.3 | 169.8 |
| 18-24 | 97.6  | 99.8  | 109.4 | 119.2 | 127.7 | 137.3 | 140   |
| 25-34 | 99.1  | 101.8 | 109.7 | 119.4 | 129.4 | 139.4 | 146   |
| 35-44 | 99.7  | 105.1 | 113.3 | 123.2 | 133.8 | 149.1 | 157.8 |
| 45-54 | 103.8 | 109.4 | 119.3 | 129.6 | 143.6 | 160   | 175.8 |
| 55-64 | 109.1 | 113.4 | 125.1 | 139.3 | 155.6 | 169.9 | 185.8 |
| 65-74 | 113.7 | 119.6 | 131.3 | 147.7 | 163.6 | 181.4 | 193.7 |
| 40-74 | 105.6 | 109.8 | 119.8 | 133.9 | 149.8 | 169.5 | 181.7 |
