| Age   | 5th   | 10th  | 25th  | 50th  | 75th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 6     | 79.5  | 84.4  | 89    | 93.9  | 103.7 | 109.9 | 114.3 |
| 7-11  | 83.4  | 89.2  | 94    | 101.6 | 109.8 | 119.4 | 123.1 |
| 7     | 79.5  | 83.8  | 89.6  | 95.8  | 105.1 | 114.4 | 119.1 |
| 8     | 79.5  | 87.8  | 94.6  | 100   | 109.5 | 119.3 | 120   |
| 9     | 89    | 89.5  | 95.2  | 193.2 | 109.8 | 119.4 | 129.4 |
| 10    | 83.8  | 89.4  | 95.6  | 105.5 | 109.8 | 119.4 | 123.8 |
| 11    | 89.3  | 89.9  | 97.8  | 105.8 | 115.7 | 119.9 | 125.1 |
| 12-17 | 89.8  | 94.6  | 101.3 | 109.8 | 119.6 | 129.4 | 134.9 |
| 12    | 87.9  | 91.3  | 99.4  | 109.2 | 119.5 | 129.4 | 133.5 |
| 13    | 89.7  | 93.6  | 103.1 | 110   | 119.4 | 127.9 | 133.6 |
| 14    | 93.4  | 97.6  | 101.8 | 109.9 | 119.7 | 129.7 | 137   |
| 15    | 90    | 95.5  | 100   | 109.7 | 119.5 | 129.1 | 133   |
| 16    | 93.4  | 97.1  | 103.7 | 111.6 | 119.7 | 129.8 | 137.3 |
| 17    | 84.8  | 93.3  | 101.2 | 109.8 | 119.8 | 129.6 | 137.5 |
| 18-74 | 99.1  | 101.8 | 109.9 | 121.9 | 139.5 | 159.7 | 174.1 |
| 18-24 | 95.1  | 99    | 105.6 | 113.9 | 121.2 | 129.7 | 131.1 |
| 25-34 | 95.9  | 99.4  | 107.6 | 115   | 123.7 | 133.4 | 139.8 |
| 35-44 | 99    | 101.3 | 109.6 | 119.7 | 131.1 | 149.3 | 159.6 |
| 45-54 | 99.8  | 109.1 | 117.2 | 129.2 | 143.4 | 159.9 | 179.2 |
| 55-64 | 109.2 | 112   | 125.7 | 139.7 | 159.4 | 175.7 | 189.3 |
| 65-74 | 117.5 | 121.5 | 135.1 | 149.3 | 167.1 | 184.4 | 197.4 |
| 40-74 | 103.4 | 109.5 | 119.5 | 134.2 | 153.2 | 170   | 187.6 |
