Age,5th,10th,25th,50th,75th,90th,95th
"6 years",79.2,79.9,89.3,93.5,99.5,109.2,114.5
"7-11 years",84.6,89,93.7,103.2,109.8,119.2,121.7
"7 years",83.4,87.6,93.1,100,109.4,115.2,119.7
"8 years",79.8,85.1,89.6,99.6,109.5,119.2,121.8
"9 years",85,89.1,95.2,103.6,109.8,119.4,121.6
"10 years",87.3,89.4,97,105.6,111.5,119.5,125.7
"11 years",87.2,89.4,97.3,104,111.2,119.3,123.5
"12-17 years",93.9,97.9,105.6,113.2,120,130,139.6
"12 years",89.4,93.2,99.7,109.3,119,119.9,127.4
"13 years",93.1,95.9,99.8,109.6,119.5,127.2,129.8
"14 years",97.2,99.4,107.4,113.1,119.9,125.9,139
"15 years",93.8,99.6,109.1,113.6,125,137.3,139.7
"16 years",97.6,99.7,109.3,117.8,129.1,139,145.3
"17 years",97.7,99.9,109.3,117.7,128,139.7,149.2
"18-74 years",105.7,109.5,119.2,129.2,139.6,157.3,169.2
"18-24 years",103,107.8,113.8,121.4,130,139.6,144
"25-34 years",103.9,109.4,115.8,123.6,131.7,140,149.6
"35-44 years",105,109.2,117.6,125.7,135.7,149,155
"45-54 years",109.1,111.3,119.8,131.1,143.7,161.4,175.1
"55-64 years",107.9,113.8,123.9,137.8,149.9,166,179.1
"65-74 years",109.7,119.1,129.4,143.5,159.8,179.4,189.7
"40-74 years",109.7,111.7,121.1,133.7,149.2,166,179.1
