| Age   | 1st | 5th | 10th | 25th | 50th | 75th | 90th | 95th | 99th |
| ----- | --- | --- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 0-1   | 90  | 103 | 108  | 116  | 126  | 137  | 149  | 156  | 174  |
| 1     | 83  | 95  | 100  | 108  | 116  | 123  | 133  | 138  | 158  |
| 2–3   | 78  | 86  | 90   | 97   | 105  | 113  | 119  | 124  | 138  |
| 4–5   | 70  | 75  | 79   | 86   | 94   | 102  | 110  | 114  | 126  |
| 6–8   | 60  | 68  | 71   | 78   | 85   | 93   | 101  | 105  | 116  |
| 9–11  | 57  | 63  | 67   | 73   | 81   | 89   | 96   | 101  | 112  |
| 12–15 | 52  | 58  | 62   | 68   | 76   | 85   | 93   | 98   | 108  |
| 16–19 | 48  | 54  | 58   | 64   | 73   | 82   | 90   | 95   | 105  |
| 20–39 | 48  | 54  | 57   | 64   | 71   | 79   | 87   | 92   | 103  |
| 40–59 | 47  | 54  | 57   | 62   | 70   | 78   | 86   | 91   | 102  |
| 60–79 | 47  | 54  | 56   | 62   | 69   | 77   | 85   | 91   | 102  |
| 80+   | \*  | 54  | 57   | 62   | 70   | 77   | 86   | 93   | 101  |
