| Age   | 1st | 5th | 10th | 25th | 50th | 75th | 90th | 95th | 99th |
| ----- | --- | --- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 0-1   | 96  | 104 | 108  | 118  | 127  | 137  | 150  | 156  | 174  |
| 1     | 82  | 95  | 101  | 110  | 117  | 125  | 135  | 139  | 158  |
| 2–3   | 78  | 88  | 91   | 98   | 107  | 114  | 120  | 125  | 137  |
| 4–5   | 70  | 76  | 81   | 87   | 95   | 104  | 110  | 117  | 132  |
| 6–8   | 61  | 69  | 73   | 79   | 87   | 94   | 101  | 106  | 117  |
| 9–11  | 58  | 66  | 69   | 76   | 83   | 91   | 98   | 103  | 113  |
| 12–15 | 54  | 60  | 63   | 70   | 79   | 87   | 94   | 99   | 110  |
| 16–19 | 50  | 58  | 62   | 69   | 77   | 85   | 94   | 99   | 108  |
| 20–39 | 52  | 57  | 60   | 66   | 74   | 82   | 89   | 95   | 104  |
| 40–59 | 51  | 56  | 59   | 64   | 71   | 79   | 86   | 92   | 101  |
| 60–79 | 52  | 56  | 59   | 64   | 70   | 78   | 86   | 92   | 102  |
| 80+   | \*  | 56  | 59   | 64   | 71   | 77   | 85   | 93   | 100  |
