| Age   | 1st | 5th | 10th | 25th | 50th | 75th | 90th | 95th | 99th |
| ----- | --- | --- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 0-1   | 84  | 102 | 107  | 115  | 125  | 137  | 148  | 155  | 171  |
| 1     | \-  | 95  | 100  | 107  | 114  | 122  | 131  | 137  | 156  |
| 2–3   | 75  | 85  | 89   | 96   | 104  | 112  | 119  | 124  | 139  |
| 4–5   | 69  | 74  | 78   | 84   | 92   | 100  | 108  | 112  | 120  |
| 6–8   | 59  | 66  | 70   | 76   | 83   | 92   | 100  | 105  | 114  |
| 9–11  | 56  | 61  | 66   | 70   | 78   | 86   | 94   | 97   | 110  |
| 12–15 | 52  | 57  | 60   | 66   | 74   | 83   | 91   | 97   | 108  |
| 16–19 | 46  | 52  | 56   | 61   | 69   | 78   | 87   | 92   | 104  |
| 20–39 | 47  | 52  | 55   | 61   | 69   | 76   | 84   | 89   | 101  |
| 40–59 | 46  | 52  | 55   | 61   | 68   | 77   | 85   | 90   | 104  |
| 60–79 | 45  | 50  | 54   | 60   | 67   | 75   | 84   | 91   | 102  |
| 80+   | \*  | 51  | 54   | 61   | 68   | 78   | 86   | 94   | \*   |
