Activity,"Average hours per day, civilian population","Average percent engaged in the activity per day","Average hours per day for persons who engaged in the activity"
"Total, all activities",24,,
"Personal care activities",9.83,100,9.83
"– Sleeping",8.91,99.9,8.92
"Eating and drinking",1.17,95.5,1.23
"Household activities",2.16,84.9,2.54
"– Housework",0.78,46.2,1.69
"– Food preparation and cleanup",0.79,70.3,1.13
"– Lawn and garden care",0.11,7.2,1.53
"– Household management",0.19,22.4,0.83
"Purchasing goods and services",0.87,48.6,1.8
"– Consumer goods purchases",0.42,44.4,0.94
"– Professional and personal care services",0.12,9.7,1.24
"Caring for and helping household members",0.65,27.3,2.37
"– Caring for and helping household children",0.49,22.5,2.2
"Caring for and helping nonhousehold members",0.21,12.3,1.74
"– Caring for and helping nonhousehold adults",0.07,7.9,0.87
"Working and work-related activities",2.91,38.7,7.53
"– Working",2.64,37,7.15
"Educational activities",0.49,8.8,5.56
"– Attending class",0.24,4.7,5.21
"– Homework and research",0.21,7.2,2.88
"Organizational, civic, and religious activities",0.35,16.3,2.15
"– Religious and spiritual activities",0.17,11.8,1.42
"– Volunteering (organizational and civic activities)",0.14,6.5,2.15
"Leisure and sports",4.86,94.9,5.12
"– Socializing and communicating",0.66,37,1.78
"– Watching television",2.64,77.2,3.42
"– Participating in sports, exercise, and recreation",0.23,18,1.26
"Telephone calls, mail, and e-mail",0.19,25,0.75
"Other activities, not elsewhere classified",0.31,23.3,1.34
