"Intent and mechanism","Number of visits in thousands","Standard error in thousands"
"All injury-related visits",39395,2089
"Unintentional injuries",26036,1379
Falls,8898,536
"Motor vehicle traffic",3836,264
"Struck against or struck accidentally by objects or persons",3044,198
"Overexertion and strenuous movements",2116,130
"Cutting or piercing instruments or objects",2089,147
"Natural and environmental factors",1522,106
"Foreign body",638,67
Poisoning,486,64
"Motor vehicle, nontraffic, and other",451,46
"Fire and flames, hot substances or object, caustic or corrosive, and steam",416,59
"Caught accidentally in or between objects",359,48
"Pedal cycle, nontraffic",330,48
Machinery,280,42
"Other transportation",209,38
"Other mechanism2",1182,122
"Mechanism unspecified",179,28
"Intentional injuries",1998,122
Assault,1447,98
"Unarmed fight or brawl, striking by blunt or thrown object",784,66
"Cutting or piercing instrument",76,20
"Other and unspecified mechanism3",587,57
Self-inflicted,472,51
"Poisoning by solid or liquid substances, gases, and vapors",294,40
"Other and unspecified mechanism4",178,26
"Other causes of violence",79,18
"Injuries of undetermined intent",293,54
"Adverse effects of medical treatment",1684,151
"Medical and surgical complications",968,110
"Adverse drug effects",716,78
"Alcohol and drug use5",1766,152
Unknown6,7618,559
