"Table 8. Injury visits by patient age and sex, according to ambulatory care setting: United States, 2007",,
,,
"Combined settings",,
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All visits",156844,7094
"Under 15 years",22682,1404
"15–24 years",20675,1289
"25–44 years",39400,2317
"45–64 years",42692,2499
"65–74 years",15784,1204
"75 years and over",15612,1149
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All female visits",77114,3673
"Under 15 years",9476,789
"15–24 years",7953,610
"25–44 years",19070,1168
"45–64 years",22195,1447
"65–74 years",8679,807
"75 years and over",9740,810
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All male visits",79730,3874
"Under 15 years",13206,924
"15–24 years",12722,982
"25–44 years",20331,1489
"45–64 years",20497,1394
"65–74 years",7104,619
"75 years and over",5871,524
,,
"Primary care offices",,
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All visits",45153,3440
"Under 15 years",9241,1096
"15–24 years",5886,798
"25–44 years",10816,1213
"45–64 years",10457,1097
"65–74 years",4974,664
"75 years and over",3778,659
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All female visits",23841,1951
"Under 15 years",4016,611
"15–24 years",2547,465
"25–44 years",5767,642
"45–64 years",6165,736
"65–74 years",2789,505
"75 years and over",2557,487
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All male visits",21311,1915
"Under 15 years",5225,753
"15–24 years",3339,567
"25–44 years",5049,875
"45–64 years",4291,590
"65–74 years",2185,391
"75 years and over",*,-
,,
"Surgical specialty offices",,
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All visits",34028,3870
"Under 15 years",3435,723
"15–24 years",4321,716
"25–44 years",7735,1142
"45–64 years",11888,1681
"65–74 years",3580,566
"75 years and over",3069,477
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All female visits",16165,1909
"Under 15 years","*1,229",432
"15–24 years",1079,217
"25–44 years",3423,602
"45–64 years",5882,923
"65–74 years",2467,444
"75 years and over",2085,359
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All male visits",17864,2138
"Under 15 years",2206,417
"15–24 years",3242,621
"25–44 years",4312,664
"45–64 years",6007,923
"65–74 years",1113,226
"75 years and over",984,233
,,
"Medical specialty offices",,
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All visits",27269,3309
"Under 15 years",*,-
"15–24 years",1672,407
"25–44 years",5788,1007
"45–64 years",9024,1214
"65–74 years",4641,717
"75 years and over",4963,823
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All female visits",13266,1538
"Under 15 years",*,-
"15–24 years",*,-
"25–44 years",3173,529
"45–64 years",4502,680
"65–74 years",2028,374
"75 years and over",2550,491
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All male visits",14003,2084
"Under 15 years",*,-
"15–24 years","*1,129",392
"25–44 years",2615,664
"45–64 years",4522,776
"65–74 years",2613,440
"75 years and over",2413,406
,,
"Hospital outpatient departments",,
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All visits",10999,1428
"Under 15 years",1521,265
"15–24 years",1684,267
