Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1082,2.8,0.1,1.2,1.4,1.5,1.8,2.4,3.5,4.1,4.6,5.4
"12–15 years",1780,4,0.1,1.9,2.2,2.5,2.9,3.7,4.8,5.6,6.4,7.4
"16–19 years",1513,4.8,0.1,2.5,2.8,3.1,3.5,4.3,5.5,6.6,7.3,8.9
"20–39 years",2043,5.5,0.1,2.8,3.1,3.4,3.9,5,6.5,7.6,8.4,10
"40–59 years",2049,5.8,0.1,2.9,3.4,3.7,4.2,5.3,6.9,8,8.8,10.1
"60–79 years",1846,5.6,0,2.9,3.4,3.7,4.1,5.2,6.6,7.5,8.2,9.5
"80 years and older",594,4.8,0.1,2.4,2.8,3.1,3.8,4.6,5.6,6.3,6.8,7.9
"20 years and older (crude)",6532,5.6,0,2.8,3.2,3.6,4,5.1,6.6,7.7,8.5,????
"20 years and older (age adjusted)",6532,5.6,0,,,,,,,,,

