Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,253.84,40.68,195.77,207.43,215.52,226.28,249.37,278.47,295.42,310.64,328.74
"12–15 years",2318,322.53,39.02,259.09,272.06,282.19,297.07,322.39,349.22,362.02,371.11,385.01
"16–19 years",2027,340.08,40.37,280.56,290.94,301.36,316.25,337.09,364.25,377.31,385.09,403
"20–29 years",1378,341.95,35.9,283.38,295.76,304.96,316.6,341.81,366.31,378.7,387.07,401.99
"30–39 years",1372,344.49,35.19,290.03,302.09,309.92,320.83,340.85,366.69,382.53,390.39,404.91
"40–49 years",1570,346.11,35.45,290.32,301.99,310.75,321.64,345.88,369.59,381.28,390.14,406.41
"50–59 years",1200,340.97,36.02,281.04,294.96,304.69,318.02,341.62,362.88,376.15,383.43,400.53
"60–69 years",1419,340.53,37.5,279.82,292.89,300.72,315.55,341.15,364.87,378.45,386.56,400.79
"70–79 years",750,328.88,41.3,262.29,279.66,290.59,304.66,331.12,353.24,368.16,378.76,393.84
"80 years and over",594,309.03,44.28,234.69,253.02,263,285.21,310.84,340.12,352.52,360.07,375.28
"20 years and over (age-adjusted)",8283,340.47,,,,,,,,,,
