Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,421.28,66.04,329.92,344.44,358.27,375.69,411.27,459.94,488.37,514.1,546.04
"12–15 years",2318,571.19,70.46,455.11,481.54,497.48,524.48,570.35,617.93,643.8,659.98,686.33
"16–19 years",2027,615.73,62.88,519.27,538.45,551.32,571.08,615.33,653.88,676.98,692.41,723.07
"20–29 years",1378,625.48,64.67,525.96,546.27,560.4,582.15,621.38,665.68,689.82,706.65,733.23
"30–39 years",1372,626.05,67.03,524.39,544.86,560.35,579.86,620.9,664.32,691.28,710.24,744.84
"40–49 years",1570,624.34,67.21,524.44,544.59,558.07,579.38,618.36,664.95,693.01,708.52,740.43
"50–59 years",1200,609.59,66.15,507.37,528,543.74,567.4,605.19,649.77,672.46,690.14,722.58
"60–69 years",1419,591.82,68.82,485.33,507.31,523.15,543.81,589.14,637.04,657.66,672.56,700.97
"70–79 years",750,563.81,63.37,455.6,485.13,497.01,524.7,563.39,604.92,626.41,643.59,666.25
"80 years and over",594,521.99,60.87,426.07,444.23,459.21,481.71,520.38,558,585.56,600.86,626.62
"20 years and over (age-adjusted)",8283,609.51,,,,,,,,,,
