Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,0.732,0.094,0.583,0.612,0.633,0.664,0.727,0.793,0.835,0.861,0.889
"12–15 years",2318,0.91,0.087,0.764,0.799,0.822,0.852,0.909,0.967,1,1.023,1.053
"16–19 years",2027,0.965,0.086,0.824,0.859,0.88,0.909,0.96,1.017,1.048,1.079,1.118
"20–29 years",1378,0.973,0.079,0.846,0.876,0.894,0.918,0.969,1.022,1.049,1.074,1.112
"30–39 years",1372,0.977,0.081,0.847,0.879,0.894,0.919,0.974,1.03,1.057,1.078,1.115
"40–49 years",1570,0.973,0.085,0.841,0.868,0.892,0.915,0.965,1.025,1.058,1.085,1.126
"50–59 years",1200,0.936,0.087,0.796,0.826,0.845,0.875,0.931,0.991,1.028,1.052,1.082
"60–69 years",1419,0.893,0.091,0.746,0.777,0.8,0.83,0.89,0.952,0.987,1.011,1.051
"70–79 years",750,0.837,0.088,0.693,0.724,0.748,0.78,0.83,0.894,0.931,0.955,0.985
"80 years and over",594,0.781,0.092,0.633,0.664,0.692,0.716,0.774,0.839,0.875,0.897,0.94
"20 years and over (age-adjusted)",8283,0.94,,,,,,,,,,
