Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,88.44,16.8,63.36,68.1,71.1,76.45,87.25,99.52,105.4,110.27,117.15
"12–15 years",2318,113.12,17.63,86.7,91.34,95.75,101.94,112.46,123.62,130.5,134.99,144.18
"16–19 years",2027,119.19,17.72,94.15,98.66,101.93,106.85,117.16,129.43,137.24,141.44,151.59
"20–29 years",1378,121.38,19.26,94.56,99.28,103.15,108.66,119.01,131.71,140.38,145.4,155.19
"30–39 years",1372,120.9,20.06,92.26,97.03,101.15,106.96,117.9,132.56,142.01,147.69,156.97
"40–49 years",1570,118.02,19.17,90.5,94.45,99.19,104.66,116.04,128.91,137.11,143.4,152.07
"50–59 years",1200,116.21,18.89,87.36,93.21,97.46,103.86,114.32,127.66,134.8,140.08,149.73
"60–69 years",1419,111.74,18.62,82.78,88.57,92.78,98.62,110.83,123.97,129.96,135.18,143.09
"70–79 years",750,105.25,18.03,77.26,83.38,87.86,92.94,104.63,115.99,122.72,128.83,137.14
"80 years and over",594,98.6,16.95,71.46,76.43,80.49,87.81,97.87,109.51,115.5,120.23,128.65
"20 years and over (age-adjusted)",8283,116.36,,,,,,,,,,
