Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,23.46,6.31,13.82,15.52,16.96,19.44,23.45,27.09,29.37,31.05,34.43
"12–15 years",2264,41.31,15.04,20.24,23.74,25.8,29.35,39.62,51.61,57.73,61.31,67.92
"16–19 years",2309,61.24,13.82,39.86,44.83,47.8,51.91,59.96,69.51,75.63,78.99,85.41
"20–29 years",1530,62.39,14.06,42.05,45.83,48.31,52.93,60.54,70.84,76.54,81.08,87.82
"30–39 years",1450,62,14.83,39.57,43.51,47.25,51.71,61.16,70.47,76.79,80.34,88.66
"40–49 years",1549,63.21,16.22,39.87,43.69,46.49,51.69,61.45,73.36,79.26,85.15,91.93
"50–59 years",1187,62.46,16.36,37.72,42.28,45.66,51.1,60.92,72.3,80.25,83.54,89.99
"60–69 years",1350,64.23,18.15,38.34,43.23,46.47,51.68,62.44,74.67,82.18,86.82,95.77
"70–79 years",825,*64.21,19.39,37.59,42.04,44.68,50.24,60.72,76.23,84.72,90.22,98.06
"80 years and over",501,*64.47,20.51,35.4,41.46,45.01,50.88,61.61,74.37,85.71,92.39,103.02
"20 years and over (age-adjusted)",8392,62.93,,,,,,,,,,
