Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,0.581,0.061,0.488,0.503,0.517,0.539,0.578,0.617,0.642,0.661,0.689
"12–15 years",2264,0.715,0.107,0.549,0.582,0.601,0.636,0.707,0.788,0.83,0.855,0.898
"16–19 years",2309,0.855,0.094,0.702,0.734,0.757,0.79,0.853,0.911,0.946,0.974,1.021
"20–29 years",1530,0.88,0.102,0.728,0.758,0.782,0.812,0.871,0.936,0.983,1.01,1.056
"30–39 years",1450,0.897,0.112,0.731,0.763,0.785,0.817,0.884,0.96,1.003,1.04,1.103
"40–49 years",1549,0.919,0.127,0.737,0.768,0.794,0.831,0.908,0.996,1.044,1.078,1.131
"50–59 years",1187,0.918,0.135,0.721,0.76,0.788,0.828,0.902,0.995,1.055,1.086,1.153
"60–69 years",1350,0.945,0.146,0.721,0.766,0.797,0.841,0.933,1.037,1.092,1.143,1.209
"70–79 years",825,0.926,0.147,0.701,0.74,0.771,0.822,0.912,1.017,1.076,1.116,1.185
"80 years and over",501,0.906,0.151,0.695,0.727,0.753,0.796,0.887,0.998,1.059,1.111,1.181
"20 years and over (age-adjusted)",8392,0.91,,,,,,,,,,
