Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",529,4.4,0.02,4,4,4.1,4.2,4.4,4.5,4.6,4.7,4.8
"3 years",486,4.6,0.02,4.1,4.2,4.3,4.4,4.5,4.7,4.8,4.9,5
"4 years",544,4.7,0.02,4.3,4.4,4.4,4.5,4.7,4.9,5,5.1,5.2
"5 years",496,4.9,0.02,4.4,4.5,4.6,4.7,4.9,5.1,5.2,5.3,5.4
"6 years",280,5.1,0.04,*,4.7,4.7,4.9,5.1,5.4,5.5,5.6,*
"7 years",269,5.3,0.04,*,4.8,4.9,5,5.4,5.6,5.7,5.8,*
"8 years",262,5.6,0.05,*,5.1,5.2,5.3,5.5,5.8,6,6.1,*
"9 years",276,5.8,0.04,*,5.3,5.4,5.5,5.8,6.1,6.2,6.4,*
"10 years",294,5.9,0.04,*,5.5,5.5,5.6,5.9,6.2,6.4,6.5,*
"11 years",282,6.2,0.05,*,5.6,5.7,5.8,6.1,6.4,6.6,6.7,*
"12 years",202,6.6,0.05,*,*,6.1,6.2,6.5,6.9,7,*,*
"13 years",182,6.8,0.06,*,*,6.3,6.5,6.8,7.1,7.3,*,*
"14 years",187,7,0.07,*,*,6.7,6.7,7,7.3,7.5,*,*
"15 years",185,7.2,0.06,*,*,6.8,6.9,7.1,7.5,7.7,*,*
"16 years",192,7.2,0.05,*,*,6.7,7,7.1,7.4,7.5,*,*
"17 years",193,7.3,0.05,*,*,6.8,7,7.2,7.5,7.7,*,*
"18 years",170,7.2,0.06,*,*,6.8,6.9,7.2,7.5,7.7,*,*
"19 years",164,7.1,0.05,*,*,6.7,6.9,7.1,7.4,7.5,*,*
"20 years and older",7497,7.4,0.01,6.6,6.8,6.9,7,7.4,7.7,7.9,8,8.2
"20–29 years",1586,7.2,0.02,6.5,6.7,6.8,7,7.2,7.5,7.6,7.8,8
"30–39 years",1437,7.3,0.02,6.6,6.7,6.8,7,7.3,7.6,7.8,8,8.1
"40–49 years",1181,7.4,0.02,6.7,6.8,7,7.1,7.4,7.7,7.9,8,8.2
"50–59 years",820,7.5,0.03,6.7,6.9,7,7.2,7.5,7.8,8,8.1,8.3
"60–69 years",1116,7.5,0.02,6.7,6.9,7,7.2,7.5,7.8,8,8.1,8.3
"70–79 years",797,7.5,0.03,6.7,6.9,7,7.2,7.5,7.8,8,8.1,8.3
"80 years and older",560,7.5,0.03,6.7,6.8,7,7.1,7.5,7.8,7.9,8,8.2
