Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",562,16.4,0.13,14.4,14.9,15.1,15.6,16.2,17.2,17.7,17.9,18.7
"3 years",582,15.9,0.14,13.7,14.2,14.5,14.9,15.8,16.6,17.2,17.6,18.4
"4 years",533,16,0.21,*,14.1,14.4,14.8,15.7,16.6,17.2,18.2,*
"5 years",554,15.9,0.17,*,13.9,14.1,14.6,15.4,16.8,17.6,18.9,*
"6 years",272,16.1,0.32,*,*,14.1,14.7,15.3,16.7,18.1,*,*
"7 years",274,16.9,0.35,*,*,14.3,14.7,15.8,18.5,20,*,*
"8 years",247,17.3,0.42,*,*,14.7,15.2,16.6,18.4,20.2,*,*
"9 years",280,18.2,0.47,*,14.5,14.8,15.6,16.6,19.6,21.8,24.2,*
"10 years",258,18.4,0.46,*,*,14.9,15.5,17.3,20.1,22.3,*,*
"11 years",275,19.4,0.45,*,*,15.8,16.5,18.5,21.5,23.7,*,*
"12 years",236,20.2,0.57,*,*,16,16.9,19.4,22,24.2,*,*
"13 years",220,21.8,0.63,*,*,17.3,18.5,20.5,23.8,27.5,*,*
"14 years",218,22.4,0.59,*,*,18.4,19.4,21.1,24.5,26.2,*,*
"15 years",191,21.9,0.53,*,*,18.4,19.1,21,23.3,26.2,*,*
"16 years",208,23,0.72,*,*,19.7,20.1,21.2,24.8,26.9,*,*
"17 years",201,23.3,0.66,*,*,19.3,20.2,22.2,25.2,27.2,*,*
"18 years",175,22.9,0.74,*,*,*,19.3,21.8,24.5,*,*,*
"19 years",177,23.7,0.89,*,*,*,19.9,22.4,25.3,*,*,*
"20 years and older",8758,26.5,0.14,18.8,19.8,20.5,21.8,25,29.9,32.8,35.3,38.8
"20–29 years",1665,24.3,0.2,18.4,19,19.5,20.5,22.8,26.3,29.8,32,35.8
"30–39 years",1775,26.3,0.24,18.7,19.4,20,21.3,24.3,30.2,33.3,35.9,39.6
"40–49 years",1367,27,0.27,19.2,20.4,21,22.4,25.5,30.2,33.2,36,39.9
"50–59 years",1006,28.4,0.31,19.9,21,22.2,23.6,27.2,32.1,35.1,37.1,40.6
"60–69 years",1172,27.6,0.27,19.7,20.9,21.8,23.5,26.6,30.8,33.6,35.7,38.6
"70–79 years",985,26.9,0.28,19.5,20.7,21.4,22.6,25.9,29.9,32.1,34.5,38.8
"80 years and older",788,25.2,0.26,17.7,19.3,20.3,21.7,25,28.4,30,31.4,33.6
