Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",492,5.9,0.2,*,4.2,4.4,4.7,5.4,6.6,7.4,8.2,*
"3 years",553,6.4,0.29,*,4.3,4.4,4.8,5.6,6.8,8.2,9,*
"4 years",526,6.7,0.39,*,4,4.3,4.6,5.7,7.2,8.3,10.2,*
"5 years",552,6.9,0.35,*,4,4.3,4.6,5.9,7.3,9.1,11,*
"6 years",273,7.6,0.73,*,*,4,4.6,5.5,7.8,11,*,*
"7 years",266,9.8,0.99,*,*,4.4,5.1,6.4,11.5,17.1,*,*
"8 years",242,9.7,0.93,*,*,4.6,5.2,6.8,10.6,16.1,*,*
"9 years",270,12.7,1.18,*,*,4.9,5.6,8.8,16.8,24.6,*,*
"10 years",254,13.5,1.2,*,*,6,6.7,9.6,18.5,23.3,*,*
"11 years",267,14.3,1.15,*,*,5.4,6.7,11.9,20.3,25.3,*,*
"12 years",227,14.9,1.29,*,*,6.1,6.5,12.1,21.1,25.8,*,*
"13 years",215,16.3,1.34,*,*,7,9,13.8,24.1,28,*,*
"14 years",210,18.2,1.32,*,*,8.3,10.6,16,25.4,28.4,*,*
"15 years",184,16.8,1.38,*,*,*,9.1,14.3,24.1,*,*,*
"16 years",197,17,1.26,*,*,8.9,10.8,14.1,20.8,25.5,*,*
"17 years",183,18.7,1.31,*,*,*,11.2,18.7,25.1,*,*,*
"18 years",163,17.4,1.37,*,*,*,10.7,15.1,24.5,*,*,*
"19 years",163,17,1.43,*,*,*,9.7,16.2,21.9,*,*,*
"20 years and older",7602,20.2,0.24,5.9,7.3,8.5,11.2,19.3,28.3,32.9,35,38
"20–29 years",1552,17.7,0.38,5.9,6.9,7.6,9.5,15.4,24.7,29.8,33.5,37.1
"30–39 years",1580,19.8,0.41,5.7,6.4,7.6,9.5,18.2,28.4,33.3,36.3,38.9
"40–49 years",1205,22,0.46,6,8,9.3,12.6,21.9,31.2,34.5,36.1,38.4
"50–59 years",890,24,0.5,7.2,9.7,11.8,17.2,24.5,31.9,34.8,37.3,38.8
"60–69 years",1005,21.1,0.44,6.3,8.4,10.2,13.6,21,27.8,31.4,34.3,36.7
"70–79 years",816,18.7,0.48,5.3,7.4,9,11.1,17.9,25.7,29.2,31.7,34.6
"80 years and older",554,15.7,0.48,5.3,6.8,7.8,10.1,14.2,20.9,24.2,26.7,29.4
