Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",564,89.7,0.33,82.6,84,85.1,86.9,89.2,92.7,94.3,95.3,96.9
"3 years",590,98.2,0.33,91.3,92.8,93.8,95,98.2,101.4,103.2,104.1,106
"4 years",535,105.1,0.36,*,98.3,100.2,102.2,105,108.5,110.4,111.5,*
"5 years",557,112.2,0.41,*,105.2,106.3,108,112,115.5,117.8,119.5,*
"6 years",274,117.9,0.61,*,*,111.5,114.5,118.2,122.1,124.1,*,*
"7 years",275,124.3,0.67,*,*,118.6,120.5,123.4,128,130.8,*,*
"8 years",247,131.1,0.7,*,*,125.3,127.4,131.1,135.5,137.5,*,*
"9 years",282,136.6,0.7,*,128.6,129.4,132.6,136.5,139.9,142.7,143.6,*
"10 years",262,142.7,0.74,*,*,135.4,137.2,142.5,147.8,150.6,*,*
"11 years",275,150.2,0.75,*,*,143.1,144.3,151.1,155.1,157.1,*,*
"12 years",239,155.5,0.88,*,*,147.5,150.6,155.6,161.2,164.2,*,*
"13 years",225,159.9,0.83,*,*,152,155.3,159.5,164.6,167.6,*,*
"14 years",226,161.2,0.83,*,*,154.5,156.1,161.5,166.4,169.1,*,*
"15 years",201,162.8,0.7,*,*,157.8,159.3,162.9,166.8,168.7,*,*
"16 years",221,163.1,0.74,*,*,157.4,159.1,162.7,166.3,168.7,*,*
"17 years",217,163.4,0.78,*,*,155.8,158.9,163.4,167.1,171,*,*
"18 years",193,163.2,0.88,*,*,155,158,163.6,167.6,170.1,*,*
"19 years",194,163.8,0.81,*,*,156.1,158.5,164.7,168.6,169.9,*,*
"20 years and older",9067,161.8,0.15,150.4,153.1,154.9,157.2,161.7,166.4,169.1,170.8,173.1
"20–29 years",1867,162.7,0.26,151.7,154.5,155.7,158,162.6,167.7,170.2,171.7,174.3
"30–39 years",1863,163.4,0.26,152.1,154.7,156.3,158.8,163.5,168.2,170.4,172.2,174.9
"40–49 years",1371,162.8,0.28,152,154.9,156.6,158.6,162.6,167.1,169.6,170.9,172.9
"50–59 years",1009,161.8,0.32,151.5,154,155.6,157.5,162.1,166.1,168.4,170.3,172.2
"60–69 years",1177,160.2,0.3,150,152.3,154.1,156.1,160.1,164.7,166.5,168.5,171.2
"70–79 years",988,158,0.34,147.2,149.8,152.1,154,158.2,162.6,164.8,166.1,167.9
"80 years and older",792,154.9,0.39,143.8,146.2,148.2,150.9,155.1,159.4,161.8,163.5,165.7
