Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",307,8.1,0.22,*,6,6.3,6.8,7.8,9.4,10,10.6,*
"6–8 months",255,7.9,0.29,*,*,5.7,6.3,7.4,9,10,*,*
"9–11 months",312,7.6,0.19,*,5.7,5.9,6.5,7.5,8.7,9.3,9.7,*
"1 year",624,7.1,0.15,4.9,5.3,5.5,5.9,6.8,7.9,8.6,9.5,10.8
"2 years",541,6.9,0.17,*,5.2,5.3,5.6,6.6,7.7,8.4,9,*
"3 years",553,6.9,0.23,*,4.9,5.1,5.5,6.3,7.6,8.3,9,*
"4 years",526,7.3,0.35,*,5,5.2,5.4,6.2,7.7,8.9,9.8,*
"5 years",555,7.4,0.36,*,4.8,4.9,5.3,6.3,7.8,9.4,10.5,*
"6 years",273,7.6,0.61,*,*,4.9,5.1,6.1,7.6,10.4,*,*
"7 years",265,9.1,0.81,*,*,5,5.3,6.2,10.3,14.4,*,*
"8 years",243,9,0.75,*,*,5,5.6,6.7,10.7,12.8,*,*
"9 years",269,11,1,*,*,5.5,6.1,7.9,12,17.6,*,*
"10 years",253,11.5,0.99,*,*,5.8,6.5,8.5,14.9,19.9,*,*
"11 years",263,11.9,0.98,*,*,6.2,6.9,8.8,15,20.5,*,*
"12 years",231,12.6,1.05,*,*,6.1,6.9,9.9,15,18.9,*,*
"13 years",215,13.9,1.1,*,*,7.2,8.4,10.7,18,22.3,*,*
"14 years",214,15.3,1.15,*,*,8.4,9.1,13.6,17.8,22.1,*,*
"15 years",183,14.9,1.17,*,*,*,9.4,12.3,18.5,*,*,*
"16 years",199,16,1.1,*,*,10.1,10.5,13,18.9,22.7,*,*
"17 years",184,17.8,1.14,*,*,*,11.2,16.7,21.5,*,*,*
"18 years",160,16.4,1.2,*,*,*,11,13.2,22.3,*,*,*
"19 years",162,16.3,1.3,*,*,*,10.9,13.8,18.4,*,*,*
"20 years and older",7520,21.3,0.22,8.5,9.8,11.1,13.4,20.4,28.2,32.3,35.1,38.3
"20–29 years",1509,18.5,0.36,8.1,9.1,9.9,11.4,16,24.4,29,33.1,36.6
"30–39 years",1544,21.3,0.39,8.3,9.4,10.4,12.7,19.8,28.7,33.7,35.9,39.3
"40–49 years",1164,23.1,0.41,9.3,11.4,12.6,15.6,22.7,30,33.4,35.6,39.6
"50–59 years",876,24.5,0.47,10,12.7,14.3,17.7,24.3,31,35.3,37.1,39.8
"60–69 years",1029,22.5,0.42,9.2,10.8,12.8,15.9,22,28.7,32.1,34.6,38.6
"70–79 years",836,19.8,0.44,8.4,9.5,11,13,19.3,25.1,29.2,30.9,34.6
"80 years and older",562,16.3,0.48,6.5,7.8,8.8,10.8,15.2,21.5,24.3,26.5,30.2
