Age,"Mean","percentage of adult height"
Birth,51.4,30
"2 months",58.73,34
"3 months",62.09,36
"4 months",64.15,37
"5 months",66.68,38
"6 months",68.49,40
"7 months",70.17,40
"8 months",71.69,41
"9 months",72.52,42
"10 months",73.18,42
"11 months",74.95,43
"1 year",82.2,47
"2 years",90.9,52
"3 years",98.8,57
"4 years",105.2,60
"5 years",112.3,64
"6 years",118.9,68
"7 years",125.9,72
"8 years",131.3,75
"9 years",137.7,79
"10 years",142,81
"11 years",147.4,84
"12 years",155.5,89
"13 years",161.6,93
"14 years",169,97
"15 years",172.8,99
"16 years",175,100
"17 years",176.5,101
"18 years",177.3,101
"19 years",175.5,100
"20 years and over",175.6,100
"20–29 years",176.1,101
"30–39 years",176.7,101
"40–49 years",176.3,101
"50–59 years",175.7,101
"60–69 years",174.1,100
"70–79 years",171.9,98
"80 years and over",169.4,97
