Age,"Northeast : Mean","Northeast : standard error","Northeast : standard deviation","Midwest : Mean","Midwest : standard error","Midwest : standard deviation","South : Mean","South : standard error","South : standard deviation","West : Mean","West : standard error","West : standard deviation"
"7-74 years",76.3,0.95,13.8,76.6,0.51,13.6,77.9,0.62,14,75.3,0.97,13.5
"7-11 years",62.9,1.62,9.2,64.4,0.56,9.2,67,1.19,10.3,63.1,2.21,10.8
"12-17 years",68.7,1.28,9.5,70.5,0.51,9.9,67.9,1.39,9.7,68.6,1.36,9.5
"18-24 years",70.8,1.49,10.9,71.9,0.91,9.7,72.3,0.84,10,71,0.87,10.2
"25-34 years",74.6,0.6,9.5,75,0.67,10.2,76.2,0.57,11,73.8,0.59,11.3
"35-44 years",79.5,0.92,13.4,79.8,0.66,11.2,82,1.32,13.5,79.6,0.7,11.7
"45-54 years",82.7,1.72,13.5,84.3,1.16,13.6,84.8,0.98,14.3,82.6,1.34,13.2
"55-64 years",85.7,1.23,11.4,86.6,1.09,14.8,87.9,1.01,12.4,86.3,0.85,12.1
"65-74 years",86.3,0.86,13.1,87.1,1.56,12.8,86.1,0.83,13.5,84.2,1.11,11.7
"Age-adjusted value",75.9,,,77,,,77.6,,,75.7,,
