Age,"Annual family income less than $3000 : Mean","Annual family income less than $3000 : standard error","Annual family income less than $3000 : standard deviation","Annual family income less than $5000 : Mean","Annual family income less than $5000 : standard error","Annual family income less than $5000 : standard deviation","Annual family income $5000-$9999 : Mean","Annual family income $5000-$9999 : standard error","Annual family income $5000-$9999 : standard deviation","Annual family income $10000 or more : Mean","Annual family income $10000 or more : standard error","Annual family $10000 or more : standard deviation"
"7-74 years",80.1,0.55,15.2,79.6,0.53,14.9,77.9,0.41,13.5,77.1,0.31,13.3
"7-11 years",63.6,1.32,10.1,64.5,0.99,9.6,65.4,0.88,10,64.4,0.58,9.7
"12-17 years",70.5,1.24,11.1,69.6,1.04,10.9,70.5,0.5,9.6,69.6,0.46,9.7
"18-24 years",73.2,0.84,10.8,73.4,0.58,10.6,74.1,0.62,10.8,74.1,0.57,10.1
"25-34 years",78.8,1.54,13.2,78.6,0.93,12.4,78.5,0.48,10.8,77.2,0.43,10.6
"35-44 years",84.7,1.16,14.1,84.9,0.89,13.4,83.9,0.67,13,81.3,0.46,11.4
"45-54 years",87.3,2.09,15.4,87.1,1.35,14.7,84.7,0.8,13.1,86.1,0.63,13.6
"55-64 years",87.5,0.91,13.8,88,1.05,13.8,87.7,0.74,12,85,0.69,12
"65-74 years",87.7,0.71,13.7,86.8,0.52,13.4,85.4,0.59,12.8,83.6,0.85,12.4
"Age-adjusted value (18-74 years)",78.6,,,78.5,,,78.3,,,77.3,,
