Age,"Annual family income less than $3000 : Mean","Annual family income less than $3000 : standard error","Annual family income less than $3000 : standard deviation","Annual family income less than $5000 : Mean","Annual family income less than $5000 : standard error","Annual family income less than $5000 : standard deviation","Annual family income $5000-$9999 : Mean","Annual family income $5000-$9999 : standard error","Annual family income $5000-$9999 : standard deviation","Annual family income $10000 or more : Mean","Annual family income $10000 or more : standard error","Annual family $10000 or more : standard deviation"
"7-74 years",131.7,0.92,27,130.4,0.74,26.7,124.2,0.63,21.4,122,0.4,20.1
"7-11 years",102.5,1.6,12.2,104,1.12,11.7,103.7,0.99,12.5,102.9,0.67,12.1
"12-17 years",115.5,1.43,13.1,114,1.29,14.2,113.9,0.79,13.6,113.1,0.59,13.4
"18-24 years",118.1,1.14,14.8,117.5,0.84,14.5,119.5,0.59,13.7,119.7,0.8,13.3
"25-34 years",120.2,1.65,14,121.5,1,15.4,121.3,0.85,13.9,120.5,0.53,14.9
"35-44 years",129.5,1.62,19.7,129,1.33,19.7,127.2,0.85,18.3,124.1,0.7,16.7
"45-54 years",140.9,4.12,26.6,141.1,2.5,29,132.5,1.34,21.3,133.5,1.12,21.7
"55-64 years",146.2,2.18,26.6,146.4,1.75,26.5,143.4,1.25,22.4,137.9,1.41,21.9
"65-74 years",153.8,1.13,25.9,151.8,0.99,25.5,149.7,1.24,24,146.7,1.56,27.1
"Age-adjusted value (18-74 years)",126.5,,,126.4,,,124.7,,,123.3,,
