Age,"Annual family income less than $3000 : Mean","Annual family income less than $3000 : standard error","Annual family income less than $3000 : standard deviation","Annual family income less than $5000 : Mean","Annual family income less than $5000 : standard error","Annual family income less than $5000 : standard deviation","Annual family income $5000-$9999 : Mean","Annual family income $5000-$9999 : standard error","Annual family income $5000-$9999 : standard deviation","Annual family income $10000 or more : Mean","Annual family income $10000 or more : standard error","Annual family $10000 or more : standard deviation"
"7-74 years",79.6,0.63,15.3,79.7,0.55,15,76.8,0.56,13.7,74.9,0.41,12.8
"7-11 years",63.5,1.77,10.1,64.6,1.08,9,64.6,1.1,10,64.1,0.87,10.1
"12-17 years",67.9,1.48,11.2,66.6,1.25,10.8,70.3,0.85,9.5,68.5,0.64,9.4
"18-24 years",70.6,1.02,10.6,71,0.61,10,71.9,0.74,10.7,71.5,0.68,9.8
"25-34 years",78.2,1.72,13,77.9,0.96,12.9,75.5,0.57,10.6,73.7,0.38,9.6
"35-44 years",82.7,1.6,14.9,84.1,1.16,13.7,82.3,0.76,13.2,78.4,0.54,11.3
"45-54 years",84.3,1.96,15,85.9,1.49,14.7,83.1,1.13,13.5,83.6,0.79,13.4
"55-64 years",87.1,1.31,13.1,87.6,1.2,13.3,88.3,1.02,12.7,84.2,0.94,12
"65-74 years",87.6,0.77,13.5,87.1,0.6,13.1,85.4,0.73,12.6,84.1,1.18,12.5
"Age-adjusted value (18-74 years)",77.3,,,77.9,,,77.2,,,75.6,,
