Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",12304,100,1357.7
Infectious,4344,35.3,479.3
"Consumption (Tuberculosis)",1591,12.9,175.6
"Respiratory system",1302,10.6,143.7
"Nervous system",1114,9.1,122.9
"Digestive system",885,7.2,97.7
"Circulatory system",799,6.5,88.2
"Accidents and injuries",595,4.8,65.7
"Genitourinary system",345,2.8,38.1
"Bones and joints",75,0.6,8.3
"Affections connected with pregnancy",32,0.3,3.5
Cancer,30,0.2,3.3
Skin,21,0.2,2.3
"Absorbent system",8,0.1,0.9
"Other causes",1163,9.5,128.3
