Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",111594,100,22941.2
"Nervous system",18053,16.2,3711.3
"Circulatory system",17007,15.2,3496.3
"Respiratory system",13712,12.3,2818.9
"Genitourinary system",11737,10.5,2412.9
Infectious,10077,9,2071.6
"Digestive system",5637,5.1,1158.8
Cancer,4720,4.2,970.3
"Consumption (Tuberculosis)",4242,3.8,872.1
"Accidents and injuries",3454,3.1,710.1
Skin,248,0.2,51
"Bones and joints",157,0.1,32.3
"Absorbent system",43,0,8.8
"Other causes",22507,20.2,4626.9
