Age,Injury,"Accidental discharge","Intentional self-harm (suicide)","Assault (homicide)","Undetermined intent","Legal intervention"
"All ages",4081,105,2132,1795,40,9
"Under 1 year",4,1,...,3,-,-
"1-4 years",18,7,...,11,-,-
"5-9 years",24,2,-,22,-,-
"10-14 years",51,3,20,27,1,-
"15-19 years",283,10,104,168,1,-
"20-24 years",386,9,120,247,8,2
"25-29 years",369,9,139,215,6,-
"30-34 years",417,13,191,209,3,1
"35-39 years",511,15,266,222,6,2
"40-44 years",484,13,268,197,3,3
"45-49 years",376,7,228,137,3,1
"50-54 years",317,2,221,92,2,-
"55-59 years",218,6,147,63,2,-
"60-64 years",158,-,118,38,2,-
"65-69 years",140,4,93,41,2,-
"70-74 years",117,3,79,35,-,-
"75-79 years",94,1,61,31,1,-
"80-84 years",58,-,45,13,-,-
"85 years and over",51,-,32,19,-,-
"Age not stated",5,-,-,5,-,-
