"Cause of death",Number,"Percent of total deaths","Crude Death rate","Age-adjusted death rate"
"All causes",2403351,100,873.1,872
"Diseases of heart",710760,29.6,258.2,257.9
"Malignant neoplasms",553091,23,200.9,201
"Cerebrovascular diseases",167661,7,60.9,60.8
"Chronic lower respiratory diseases",122009,5.1,44.3,44.3
"Accidents (unintentional injuries)",97900,4.1,35.6,35.5
"Diabetes mellitus",69301,2.9,25.2,25.2
"Influenza and pneumonia",65313,2.7,23.7,23.7
"Alzheimer’s disease",49558,2.1,18,18
"Nephritis, nephrotic syndrome and nephrosis",37251,1.5,13.5,13.5
Septicemia,31224,1.3,11.3,11.4
"Intentional self-harm (suicide)",29350,1.2,10.7,10.6
"Chronic liver disease and cirrhosis ",26552,1.1,9.6,9.6
"Essential (primary) hypertension and hypertensive renal disease",18073,0.8,6.6,6.6
"Assault (homicide)",16765,0.7,6.1,6.1
"Pneumonitis due to solids and liquids",16636,0.7,6,6
"All other causes",391904,16.3,142.4,
