Age,"All ages","Under 1 year","1-4 years","5-14 years","15-24 years","25-34 years","35-44 years","45-54 years","55-64 years","65-74 years","75-84 years","85 years and over","Age-adjusted rate"
"All causes",873.1,728.7,32.9,18.7,81.6,108.1,200,431.6,1004.6,2428.6,5688.4,15321.5,872
"Diseases of heart",258.2,12.8,1.2,0.7,2.7,7.9,29.4,95.5,264.5,673.8,1787.1,5848.7,257.9
"Malignant neoplasms",200.9,2.4,2.8,2.6,4.5,10.5,36.8,129.3,371.3,826.4,1340.8,1795.6,201
"Cerebrovascular diseases",60.9,3.2,0.3,0.2,0.5,1.6,5.8,16.2,41.5,130.2,463.1,1568.4,60.8
"Chronic lower respiratory diseases",44.3,0.9,0.3,0.4,0.5,0.8,2.1,8.8,44.8,171.5,387.6,640.1,44.3
"Accidents (unintentional injuries))",35.6,22.9,12.1,7.5,36.8,31.4,34.3,33,31.3,42.4,95.5,269.9,35.5
"Diabetes mellitus",25.2,*,*,0.1,0.4,1.7,4.3,13.3,38.3,91.8,180.2,315.6,25.2
"Influenza and pneumonia",23.7,7.5,0.7,0.2,0.5,1,2.4,4.8,12,39.6,161,734.4,23.7
"Alzheimer’s disease",18,*,*,*,*,*,*,0.2,2,18.9,140.1,659,18
"Nephritis, nephrotic syndrome and nephrosis",13.5,4.2,*,0.1,0.2,0.7,1.6,4.4,12.9,38.5,101.2,274.2,13.5
Septicemia,11.3,7.1,0.7,0.2,0.3,0.7,2,5,12.1,31.4,80.7,212.9,11.4
"Intentional self-harm (suicide)",10.7,...,...,0.8,10.4,12.8,14.6,14.6,12.3,12.6,17.7,19.4,10.6
"Chronic liver disease and cirrhosis",9.6,*,*,*,0.1,1.1,7.5,17.9,24.1,30.2,31.1,22.8,9.6
"Essential (primary) hypertension and hypertensive renal disease",6.6,*,*,*,*,0.2,0.8,2.4,6,15.3,45.7,160.8,6.6
"Assault (homicide)",6.1,9.1,2.3,0.9,12.9,11.1,7.2,4.7,3.1,2.4,2.4,2.3,6.1
"Pneumonitis due to solids and liquids",6,*,*,*,0.1,0.2,0.4,1,2.5,10.5,44.7,185.2,6
