"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",1850,100,18.3
"Accidents (unintentional injuries)",824,44.5,8.1
"Malignant neoplasms",269,14.5,2.7
"Congenital malformations, deformations and chromosomal abnormalities",105,5.7,1
"Assault (homicide)",77,4.2,0.8
"Diseases of heart",64,3.5,0.6
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",32,1.7,0.3
"Influenza and pneumonia",27,1.5,0.3
"Chronic lower respiratory diseases",26,1.4,0.3
Septicemia,24,1.3,0.2
Anemias,17,0.9,*
"All other causes",385,20.8,3.8
