"Cause of death (both sexes, 1–4 years)",Number,"Percent of total deaths","Death rate"
"All causes",3676,100,23.3
"Accidents (unintentional injuries)",1149,31.3,7.3
"Congenital malformations, deformations and chromosomal abnormalities",416,11.3,2.6
"Malignant neoplasms",285,7.8,1.8
"Assault (homicide)",284,7.7,1.8
"Diseases of heart",133,3.6,0.8
"Influenza and pneumonia",122,3.3,0.8
"Certain conditions originating in the perinatal period",57,1.6,0.4
Septicemia,53,1.4,0.3
"Cerebrovascular diseases",52,1.4,0.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",49,1.3,0.3
"All other causes",1076,29.3,6.8
