"Cause of death (both sexes, 10–14 years)",Number,"Percent of total deaths","Death rate"
"All causes",3164,100,15.2
"Accidents (unintentional injuries)",778,24.6,3.7
"Intentional self-harm (suicide)",534,16.9,2.6
"Malignant neoplasms",404,12.8,1.9
"Assault (homicide)",191,6,0.9
"Congenital malformations, deformations and chromosomal abnormalities",189,6,0.9
"Diseases of heart",87,2.7,0.4
"Chronic lower respiratory diseases",81,2.6,0.4
"Influenza and pneumonia",71,2.2,0.3
"Cerebrovascular diseases",48,1.5,0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",35,1.1,0.2
"All other causes",746,23.6,3.6
