"Cause of death (male, 65–74 years)",Number,"Percent of total deaths","Death rate"
"All causes",320247,100,2178.6
"Malignant neoplasms",94622,29.5,643.7
"Diseases of heart",78970,24.7,537.2
"Chronic lower respiratory diseases",20243,6.3,137.7
"Diabetes mellitus",13876,4.3,94.4
"Cerebrovascular diseases",12977,4.1,88.3
"Accidents (unintentional injuries)",11379,3.6,77.4
"Chronic liver disease and cirrhosis",6643,2.1,45.2
"Nephritis, nephrotic syndrome and nephrosis",6021,1.9,41
"Influenza and pneumonia",4768,1.5,32.4
Septicemia,4540,1.4,30.9
"All other causes",66208,20.7,450.4
