"Cause of death (both sexes, 25–34 years)",Number,"Percent of total deaths","Death rate"
"All causes",59178,100,128.8
"Accidents (unintentional injuries)",24516,41.4,53.4
"Intentional self-harm (suicide)",8059,13.6,17.5
"Assault (homicide)",5341,9,11.6
"Malignant neoplasms",3577,6,7.8
"Diseases of heart",3495,5.9,7.6
"Chronic liver disease and cirrhosis",1112,1.9,2.4
"Diabetes mellitus",887,1.5,1.9
"Cerebrovascular diseases",585,1,1.3
"Pregnancy, childbirth and the puerperium",532,0.9,1.2
"Human immunodeficiency virus (HIV) disease",486,0.8,1.1
"All other causes",10588,17.9,23
