"Cause of death","Number of deaths","Percent of total deaths","Crude death rate","Age-adjusted death rate"
"All causes",2854838,100,869.7,715.2
"Diseases of heart",659041,23.1,200.8,161.5
"Malignant neoplasms",599601,21,182.7,146.2
"Accidents (unintentional injuries)",173040,6.1,52.7,49.3
"Chronic lower respiratory diseases",156979,5.5,47.8,38.2
"Cerebrovascular diseases",150005,5.3,45.7,37
"Alzheimer disease",121499,4.3,37,29.8
"Diabetes mellitus",87647,3.1,26.7,21.6
"Nephritis, nephrotic syndrome and nephrosis",51565,1.8,15.7,12.7
"Influenza and pneumonia",49783,1.7,15.2,12.3
"Intentional self–harm (suicide)",47511,1.7,14.5,13.9
"Chronic liver disease and cirrhosis",44358,1.6,13.5,11.3
Septicemia,38431,1.3,11.7,9.5
"Essential hypertension and hypertensive renal disease",36524,1.3,11.1,8.9
"Parkinson disease",35311,1.2,10.8,8.8
"Pneumonitis due to solids and liquids",19184,0.7,5.8,4.7
"All other causes",584359,20.5,178,-
