"Cause of death (female, 15–19 years)",Number,"Percent of total deaths","Death rate"
"All causes",2897,100,28.1
"Accidents (unintentional injuries)",1073,37,10.4
"Intentional self-harm (suicide)",511,17.6,5
"Assault (homicide)",262,9,2.5
"Malignant neoplasms",237,8.2,2.3
"Diseases of heart",119,4.1,1.2
"Congenital malformations, deformations and chromosomal abnormalities",76,2.6,0.7
"Influenza and pneumonia",34,1.2,0.3
"Diabetes mellitus",32,1.1,0.3
"Pregnancy, childbirth and the puerperium",24,0.8,0.2
"Cerebrovascular diseases",22,0.8,0.2
"All other causes",507,17.5,4.9
