"Cause of death (male, 25–34 years)",Number,"Percent of total deaths","Death rate"
"All causes",41351,100,177
"Accidents (unintentional injuries)",17918,43.3,76.7
"Intentional self-harm (suicide)",6533,15.8,28
"Assault (homicide)",4534,11,19.4
"Diseases of heart",2328,5.6,10
"Malignant neoplasms",1744,4.2,7.5
"Chronic liver disease and cirrhosis",694,1.7,3
"Diabetes mellitus",562,1.4,2.4
"Human immunodeficiency virus (HIV) disease",374,0.9,1.6
"Cerebrovascular diseases",309,0.7,1.3
"Influenza and pneumonia",254,0.6,1.1
"All other causes",6101,14.8,26.1
