"Cause of death",Number,Rates
"Maternal causes",754,20.1
"Direct obstetric causes",530,14.1
"Pregnancy with abortive outcome",26,0.7
"Ectopic pregnancy",13,*
"Spontaneous abortion",6,*
"Medical abortion",–,*
"Other abortion",3,*
"Other and unspecified pregnancy with abortive outcome",4,*
"Other direct obstetric causes",474,12.6
"Eclampsia and pre-eclampsia",46,1.2
"Hemorrhage of pregnancy and childbirth and placenta previa",32,0.9
"Complications predominantly related to the puerperium",76,2
"Obstetrical tetanus",–,*
"Obstetric embolism",37,1
"Other complications predominantly related to the puerperium",39,1
"All other direct obstetric causes",320,8.5
"Obstetric death of unspecified cause",30,0.8
"Indirect obstetric causes",224,6
"Death from any obstetric cause occurring more than 42 days but less than 1 year after delivery",322,8.6
