Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,28.8,0.37,22.7
"2–11 months",1620,8.8,0.27,6.8
"1–2 years",2310,20,0.41,17.2
"3–5 years",2941,24.6,0.39,21.9
"6–11 years",3134,29.2,0.68,25.5
"12–15 years",1599,39.5,1.32,33.6
"16–19 years",1522,41.5,1.31,36.5
"20–29 years",3400,37.9,0.93,31.8
"30–39 years",3238,30.5,0.87,23.5
"40–49 years",2503,25.8,0.62,20.5
"50–59 years",1799,22.6,0.85,18.1
"60–69 years",2208,20.8,0.45,16.9
"70–79 years",1678,18.2,0.45,15.9
"80 years and over",1153,18.8,0.46,15.5
