Age,"Sample size",Mean,"Standard error",Median
"All ages",15181,6282,205.2,1815
"2–11 months",805,1017,134.7,–
"1–2 years",1139,4082,276.9,998
"3–5 years",1517,6325,434.3,2686
"6–11 years",1553,7246,527.7,2646
"12–15 years",848,8243,915.3,2902
"16–19 years",810,7891,567.7,2902
"20–29 years",1813,7711,644.4,2669
"30–39 years",1814,6803,349.9,2229
"40–49 years",1315,5125,304.2,1639
"50–59 years",979,5240,488.1,1364
"60–69 years",1097,5691,570.6,1376
"70–79 years",895,4348,401.6,842
"80 years and over",596,4430,646.1,842
