Age,"Sample size",Mean,"Standard error",Median
"All ages",15181,11.5,0.09,11.3
"2–11 months",805,16.1,0.17,16.2
"1–2 years",1139,13.7,0.2,13.3
"3–5 years",1517,12.4,0.16,12.4
"6–11 years",1553,12.3,0.17,12.2
"12–15 years",848,11.6,0.23,11.4
"16–19 years",810,11.8,0.25,11.4
"20–29 years",1813,11.2,0.17,11
"30–39 years",1814,11.5,0.19,11.5
"40–49 years",1315,11.5,0.18,11.3
"50–59 years",979,11,0.19,10.9
"60–69 years",1097,10.5,0.19,10.3
"70–79 years",895,10.4,0.23,10
"80 years and over",596,10.3,0.2,10.2
