Age,"Sample size",Mean,"Standard error",Median
"All ages",29103,15.1,0.07,14.5
"2–11 months",1620,11.1,0.15,9.7
"1–2 years",2310,15,0.13,14.8
"3–5 years",2941,14.3,0.12,13.9
"6–11 years",3134,14.4,0.14,14.1
"12–15 years",1598,13.8,0.19,13.5
"16–19 years",1521,14.3,0.21,14
"20–29 years",3400,14.6,0.16,14.1
"30–39 years",3238,15.2,0.15,14.6
"40–49 years",2503,15.3,0.18,14.7
"50–59 years",1799,16.2,0.16,15.5
"60–69 years",2208,16.2,0.16,15.5
"70–79 years",1678,16.2,0.19,15.6
"80 years and over",1153,15.8,0.16,15.3
