Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,15.2,0.14,12.8
"2–11 months",1620,16,0.25,14.8
"1–2 years",2310,10.1,0.14,8.8
"3–5 years",2941,12,0.18,10.6
"6–11 years",3134,14.1,0.23,12.4
"12–15 years",1599,16.2,0.7,13.5
"16–19 years",1522,16.2,0.51,13.5
"20–29 years",3400,15.9,0.26,13.3
"30–39 years",3238,16.1,0.3,13.5
"40–49 years",2503,15.6,0.32,13.2
"50–59 years",1799,15.6,0.41,12.9
"60–69 years",2208,15.2,0.41,12.2
"70–79 years",1678,14.3,0.33,11.7
"80 years and over",1153,14.5,0.38,11.4
