Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,11.4,0.09,9.5
"2–11 months",1620,5.8,0.08,5.6
"1–2 years",2310,6.7,0.1,6.2
"3–5 years",2941,8,0.13,7.2
"6–11 years",3134,10,0.17,8.8
"12–15 years",1599,11.7,0.51,9.9
"16–19 years",1522,12.8,0.43,10.9
"20–29 years",3400,12.6,0.22,10.9
"30–39 years",3238,12.7,0.22,10.6
"40–49 years",2503,11.9,0.27,10.1
"50–59 years",1799,12.2,0.46,10
"60–69 years",2208,10.8,0.29,9
"70–79 years",1678,10.3,0.43,8.4
"80 years and over",1153,9.4,0.36,7.9
