"Principal reason","Number of visits in thousands","Standard error in thousands"
"All male visits, age 15–64 years",34400,1963
"Chest pain and related symptoms",2159,187
"Stomach pain, cramps, and spasms",2031,148
"Back symptoms",1273,113
"Pain, site not referable to a specific body system",1219,117
"Headache, pain in head",1004,117
"Lacerations and cuts—upper extremity",971,88
"Shortness of breath.",669,64
"Symptoms referable to throat",639,74
"Low back symptoms",633,71
"Leg symptoms",589,69
"All other reasons2",23213,1332
