"Table 2. Number, percent distribution, and annual rate of emergency department visits with corresponding standard errors, by patient",,
"age, sex, and residence: United States, 2007",,
,,
,,
Age,"Number of visits in thousands","Standard error in thousands"
"All age",116802,6293
"Under 15 years",22308,1864
"Under 1 year",3766,426
"1–4 years",8340,729
"5–14 years",10202,790
"15–24 years",18983,1257
"25–44 years",33485,1843
"45–64 years",24491,1342
"65 years and over",17535,1014
"65–74 years",6908,412
"75 years and over",10627,645
,,
"FEMALE :",,
Age,"Number of visits in thousands","Standard error in thousands"
"All female",63170,3426
"Under 15 years",10072,859
"15–24 years",11084,712
"25–44 years",18698,1037
"45–64 years",12776,728
"65–74 years",3723,255
"75 years and over",6816,427
,,
,,
Age,"Number of visits in thousands","Standard error in thousands"
"All male",53632,2968
"Under 15 years",12236,1047
"15–24 years",7899,594
"25–44 years",14786,873
"45–64 years",11715,661
"65–74 years",3185,197
"75 years and over",3811,261
,,
"Patient residence","Number of visits in thousands","Standard error in thousands"
"Private residence",106436,5937
"Nursing home",2323,175
"Other institution",1077,126
"Other residence",604,85
Homeless,542,72
"Unknown or blank",5820,613
,,
,,
,,
Age,"Percent distribution","Standard error of percent"
"All age",100,-
"Under 15 years",19.1,1.1
"Under 1 year",3.2,0.3
"1–4 years",7.1,0.5
"5–14 years",8.7,0.4
"15–24 years",16.3,0.4
"25–44 years",28.7,0.5
"45–64 years",21,0.5
"65 years and over",15,0.5
"65–74 years",5.9,0.2
"75 years and over",9.1,0.3
,,
"FEMALE :",,
Age,"Percent distribution","Standard error of percent"
"All female",54.1,0.5
"Under 15 years",8.6,0.5
"15–24 years",9.5,0.2
"25–44 years",16,0.4
"45–64 years",10.9,0.3
"65–74 years",3.2,0.1
"75 years and over",5.8,0.2
,,
,,
Age,"Percent distribution","Standard error of percent"
"All male",45.9,0.5
"Under 15 years",10.5,0.7
"15–24 years",6.8,0.3
"25–44 years",12.7,0.3
"45–64 years",10,0.3
"65–74 years",2.7,0.1
"75 years and over",3.3,0.2
,,
"Patient residence","Percent distribution","Standard error of percent"
"Private residence",91.1,0.5
"Nursing home",2,0.1
"Other institution",0.9,0.1
"Other residence",0.5,0.1
Homeless,0.5,0.1
"Unknown or blank",5,0.5
,,
,,
Age,"Number of visits per 100 persons per year","Standard error of rate"
"All age",39.4,2.1
"Under 15 years",36.7,3.1
"Under 1 year",88.5,10
"1–4 years",50.7,4.4
"5–14 years",25.4,2
"15–24 years",45.7,3
"25–44 years",41,2.3
"45–64 years",32.2,1.8
"65 years and over",48.4,2.8
"65–74 years",36.2,2.2
"75 years and over",62,3.8
,,
"FEMALE :",,
Age,"Number of visits per 100 persons per year","Standard error of rate"
"All female",41.8,2.3
"Under 15 years",33.9,2.9
"15–24 years",54,3.5
"25–44 years",45.4,2.5
"45–64 years",32.7,1.9
"65–74 years",36,2.5
"75 years and over",65.7,4.1
,,
,,
Age,"Number of visits per 100 persons per year","Standard error of rate"
"All male",37,2
"Under 15 years",39.3,3.4
"15–24 years",37.7,2.8
"25–44 years",36.5,2.2
"45–64 years",31.7,1.8
"65–74 years",36.3,2.2
"75 years and over",56.4,3.9
,,
"Patient residence","Number of visits per 100 persons per year","Standard error of rate"
"Private residence",35.9,2
"Nursing home",155.7,11.7
"Other institution",42.3,5
"Other residence",0.2,0
Homeless,71.8,9.6
