"Patient age","Number of visits in thousands",Total,"Walk-in : percent distribution","Walk-in : standard error","Ambulance : percent distribution","Ambulance : standard error)","Public service : percent distribution","Public service : standard error","Unknown : percent distribution","Unknown : standard error"
"All visits",116802,100,75.2,1,15.5,0.6,2.3,0.6,7,0.8
"Under 15 years",22308,100,87.6,1,4.2,0.5,*1.4,0.4,6.8,0.8
"Under 1 year",3766,100,87.2,1.4,4.1,0.9,-,-,7.1,1
"1–4 years",8340,100,88.1,1.4,3.6,0.6,*1.0,0.4,7.3,1.1
"5–14 years",10202,100,87.4,1,4.6,0.5,1.7,0.5,6.3,0.9
"15–24 years",18983,100,80.3,1.3,10.3,0.7,*2.5,0.9,6.9,0.9
"25–44 years",33485,100,78.3,1.1,11.7,0.6,2.8,0.7,7.1,0.9
"45–64 years",24491,100,70.9,1.1,19.1,0.7,2.6,0.6,7.3,0.9
"65 years and over",17535,100,53.7,1.5,37.6,1.4,1.8,0.4,6.9,0.9
"65–74 years",6908,100,63.9,1.5,26.5,1.3,1.6,0.4,8,1.2
"75 years and over",10627,100,47.1,1.8,44.9,1.8,1.9,0.5,6.2,0.9
,,,,,,,,,,
,,,,,,,,,,
"Walk-in : patients arriving by car, taxi, bus, or on foot.",,,,,,,,,,
"Public service : patients arriving in public service vehicles such as police cars, social service vehicles, beach patrol, or escorted or carried by a public service official.",,,,,,,,,,
