"Systolic blood pressure (mm. Hg) ",Total,"Under 60",60-69,70-79,80-89,90-99,100-109,110-119,120-129,"130 and over"
Total,100,0.9,3.8,17.7,34.7,23.7,13.6,4.2,1.3,0.1
"Under 100",0.2,0.1,0.1,,0,,,,,
100-109,5,0.2,2,1.6,1.2,,,,,
110-119,8.9,,1.2,3.6,4,0.1,0,,,
120-129,15,0.3,0.1,6.8,6.6,1.2,,,,
130-139,21.6,,0.2,3.8,9.7,6.9,1,,,
140-149,18.4,,,1.2,8,5.9,2.9,0.4,,
150-159,11.7,0.3,0.2,0.7,2.6,4.4,3,0.4,0.1,
160-169,9.7,,,0,1.8,2.9,3.6,1.2,0.2,
170-179,4.4,,,,0.5,1.1,1.5,1.3,,
180-189,2.3,,,,,0.8,0.9,0.2,0.4,
190-199,2,,,,0.3,0.4,0.3,0.6,0.3,0.1
200-209,0.5,,,,,,0.4,0.1,0,
"210 and over",0.3,,,,,,,,0.3,
